# Grammar 例句漢字抽詞表
# 共 921 句、2043 個不同漢字詞
# 格式：<漢字詞>\t<出現次數>\t<例句>
# 餵 Gemini 提示詞建議：
# 「請給每個漢字詞的標準東京音平假名讀音（含 okurigana），格式 漢字詞\t讀音」

彼	38	彼は数学が苦手で、分数の計算に至っては小学生レベルだ。
人	16	都会の静まり返った夜にひきかえ、下町の夜は人の声が絶えない。
出	14	チャイムが鳴るが早いか、子供たちは教室を飛び出した。
何	14	周囲が何と言おうが、自分の信念は曲げない。
上	14	遅刻した上に忘れ物をし、最後には上司に叱られる始末だ。
子供	13	子供のためとあれば、親はどんな苦労も厭わない。
新	12	戦後の復興を経て、街は新しい姿を取り戻した。
時	11	電車にせよタクシーにせよ、ラッシュ時は時間がかかる。
時間	10	残り時間、一秒たりとも無駄にしたくない。
電車	10	電車が動かなければ、徒歩で帰るまでのことだ。
家族	10	家族を守らんがため、彼は危険な仕事も引き受けた。
店	10	このような無名の店にこれほどの名品があるとは、驚きだ。
彼女	9	彼女は病気をものともせず、フルマラソンを完走した。
誰	9	子供から高齢者に至るまで、誰もが楽しめるイベントだ。
街	9	戦後の復興を経て、街は新しい姿を取り戻した。
忙	9	お忙しいところをお越しいただき、誠にありがとうございます。
料理	8	現地ならではの食材を使った料理に出会えた。
手	8	目を覚ますや否や、彼はスマホを手に取った。
越	8	お忙しいところをお越しいただき、誠にありがとうございます。
上司	8	うちの上司ときたら、出張のたびにお土産の約束を忘れる。
週末	8	会社に勤めるかたわら、週末は小説を執筆している。
物	8	遅刻した上に忘れ物をし、最後には上司に叱られる始末だ。
話	8	家族で話し合った末に、郊外への引っ越しを決めた。
書類	8	書類に不備がある際は、速やかにご連絡いたします。
楽	7	子供から高齢者に至るまで、誰もが楽しめるイベントだ。
仕事	7	家族を守らんがため、彼は危険な仕事も引き受けた。
間	7	どんなに急いだところで、最終便には間に合わない。
出張	7	うちの上司ときたら、出張のたびにお土産の約束を忘れる。
地域	7	地域の花火大会ともなれば、街全体が一気にお祭りムードになる。
以上	7	責任者である以上、説明せずにはすまない。
雨	7	雨にもかかわらず、多くの来場者が集まった。
参加	7	国籍を問わず、このイベントへの参加が可能だ。
方	6	改札を出るなり、見知らぬ方に道を尋ねられた。
努力	6	長年の努力が実を結び、代表取締役に至った。
引き	6	家族を守らんがため、彼は危険な仕事も引き受けた。
厳	6	君の将来を案じていればこそ、厳しいことを言う。
今	6	既に約束した手前、今さら断れない。
自分	6	周囲が何と言おうが、自分の信念は曲げない。
確認	6	お休み中のところを恐れ入りますが、確認のお電話を差し上げました。
得ない	6	彼の境遇を思うと、同情を禁じ得ない。
弟	6	兄の几帳面さにひきかえ、弟はいつも部屋が散らかっている。
美味	6	食べ歩き旅行は美味しいものずくめで、体重が増えた。
予約	6	予約しようにも、席が数ヶ月先まで埋まっていて予約できない。
